seed,boxes,resources,demands,capacities,reachable,exhaustive_result,python_flow_result,native_flow_result,exhaustive_subset,exhaustive_ms,python_flow_ms,native_flow_ms,mismatch
700000,3,5,"[1,2,1]","[3,2,3,2,2]","[[3,4],[3,4],[1,2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.077761,0.097662,0.007273,False
700001,4,4,"[3,2,2,1]","[1,3,2,2]","[[0,1,2],[0,2],[0,2,3],[3]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.032729,0.105808,0.006505,False
700002,3,7,"[2,2,1]","[2,2,3,1,2,3,2]","[[5,6],[0,1,2,4,5,6],[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.068497,0.073728,0.004435,False
700003,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.021274,0.034129,0.001436,False
700004,2,2,"[1,1]","[3,3]","[[0,1],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.014578,0.028128,0.001324,False
700005,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.076103,0.079162,0.00364,False
700006,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.029806,0.056221,0.002435,False
700007,3,5,"[1,1,1]","[3,1,1,1,2]","[[0,1,2,3,4],[2,4],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.052102,0.043109,0.00227,False
700008,7,3,"[1,2,1,1,2,2,1]","[1,2,2]","[[2],[0,1,2],[1],[2],[1,2],[0,1,2],[1]]",UNSAT,UNSAT,UNSAT,"[0, 3, 4]",0.173738,0.245164,0.005353,False
700009,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.040403,0.06217,0.002572,False
700010,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.065969,0.072746,0.002807,False
700011,2,2,"[1,2]","[2,2]","[[0,1],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.014566,0.033349,0.001303,False
700012,1,2,[1],"[3,1]","[[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.006929,0.020186,0.000853,False
700013,6,2,"[1,1,1,2,1,2]","[2,3]","[[0],[0],[0],[0,1],[1],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.077316,0.079448,0.003367,False
700014,2,5,"[1,1]","[2,3,3,1,2]","[[2],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.023799,0.034737,0.001301,False
700015,3,7,"[1,1,3]","[2,3,1,2,2,3,2]","[[1],[4,5,6],[1,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.065625,0.05029,0.002245,False
700016,6,4,"[1,2,2,1,1,2]","[2,1,1,1]","[[1],[1,2,3],[0,1,2,3],[0,1],[1,2,3],[0,1,2,3]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.118826,0.087636,0.006508,False
700017,2,6,"[1,1]","[3,2,1,3,3,1]","[[0],[1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.020348,0.027142,0.001619,False
700018,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.01165,0.040522,0.002072,False
700019,2,2,"[1,1]","[3,2]","[[0],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.018965,0.02184,0.001131,False
