seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,maximum_flow,total_demand,flow_nodes,flow_edges,mismatch
300000,6,6,"[2,2,1,1,3,1]","[2,3,2,3,1,3]","[[0,1,2,4,5],[3,5],[0,1,2,3,4,5],[1],[0,1,2,3,4,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.301844000,0.168611000,10,10,14,38,False
300001,4,3,"[1,2,2,1]","[3,3,3]","[[0,1],[0,1,2],[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.039621000,0.035565000,6,6,9,17,False
300002,1,4,[1],"[3,3,2,2]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004911000,0.014606000,1,1,7,9,False
300003,2,5,"[1,1]","[3,1,2,2,1]","[[1],[1,3]]",FEASIBLE,FEASIBLE,null,0.012913000,0.017911000,2,2,9,10,False
300004,2,2,"[1,2]","[3,1]","[[0,1],[0,1]]",FEASIBLE,FEASIBLE,null,0.007618000,0.017605000,3,3,6,8,False
300005,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.020611000,0.036959000,3,4,7,9,False
300006,6,5,"[1,1,1,1,1,2]","[2,1,1,3,2]","[[0,3,4],[0,1,2,3,4],[3],[0,1,2,3,4],[3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.352595000,0.047393000,7,7,13,31,False
300007,1,2,[1],"[1,1]",[[0]],FEASIBLE,FEASIBLE,null,0.003593000,0.012043000,1,1,5,4,False
300008,5,3,"[2,2,3,1,1]","[1,2,2]","[[0,2],[0,1,2],[0,1,2],[0,1],[0,2]]",UNSAT,UNSAT,"[0,2]",0.017898000,0.053596000,5,9,10,20,False
300009,4,4,"[1,1,1,2]","[1,3,2,2]","[[2],[2],[3],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.049332000,0.027711000,5,5,10,14,False
300010,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007802000,0.030447000,1,4,7,9,False
300011,1,5,[2],"[1,2,2,3,2]","[[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.005087000,0.017010000,2,2,8,11,False
300012,2,6,"[1,3]","[1,2,2,3,2,3]","[[0],[0,2,4,5]]",FEASIBLE,FEASIBLE,null,0.013671000,0.078736000,4,4,10,13,False
300013,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006786000,0.024023000,1,3,6,7,False
300014,3,3,"[1,1,1]","[2,2,2]","[[1],[1,2],[2]]",FEASIBLE,FEASIBLE,null,0.018961000,0.018669000,3,3,8,10,False
300015,1,6,[1],"[1,1,3,1,2,1]",[[2]],FEASIBLE,FEASIBLE,null,0.005682000,0.012620000,1,1,9,8,False
300016,4,3,"[1,1,1,3]","[3,3,1]","[[0],[1],[0],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.039351000,0.026156000,6,6,9,13,False
300017,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.020909000,0.031349000,2,5,8,11,False
300018,5,5,"[1,1,2,1,1]","[1,2,1,1,2]","[[2,4],[0,2,4],[0,1,3,4],[2],[3,4]]",FEASIBLE,FEASIBLE,null,0.121276000,0.046390000,6,6,12,22,False
300019,5,3,"[3,1,1,2,1]","[3,3,2]","[[0,1,2],[0,1,2],[1],[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.079919000,0.035236000,8,8,10,20,False
300020,2,3,"[2,1]","[3,1,2]","[[1,2],[1]]",UNSAT,UNSAT,"[0,1]",0.009054000,0.023892000,2,3,7,8,False
300021,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.020920000,0.031122000,2,5,8,11,False
300022,3,6,"[1,1,1]","[1,2,1,1,2,2]","[[2,3,4,5],[0],[3]]",FEASIBLE,FEASIBLE,null,0.031197000,0.021790000,3,3,11,15,False
300023,2,1,"[1,1]",[1],"[[0],[0]]",UNSAT,UNSAT,"[0,1]",0.005648000,0.020484000,1,2,5,5,False
300024,4,5,"[2,1,2,2]","[3,2,2,2,2]","[[0,1,2,3,4],[0,1,2,3],[0,2],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.057460000,0.036547000,7,7,11,24,False
300025,1,4,[1],"[2,1,3,1]",[[0]],FEASIBLE,FEASIBLE,null,0.004466000,0.011914000,1,1,7,6,False
300026,2,3,"[2,2]","[3,1,2]","[[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.008905000,0.021718000,4,4,7,10,False
300027,4,5,"[2,2,1,1]","[1,3,3,2,3]","[[3,4],[0,4],[0],[1,2,4]]",UNSAT,UNSAT,"[1,2]",0.029246000,0.037880000,5,6,11,17,False
300028,6,2,"[1,2,1,2,2,1]","[3,2]","[[0,1],[0,1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[1,3,4]",0.063539000,0.129664000,5,9,10,19,False
300029,4,5,"[2,1,2,2]","[2,2,2,3,1]","[[0,1,2,3,4],[1,2,3],[0,1,3],[0,1,2,4]]",FEASIBLE,FEASIBLE,null,0.057370000,0.037753000,7,7,11,24,False
300030,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.008019000,0.026664000,1,4,7,9,False
300031,1,3,[3],"[3,1,1]","[[0,1,2]]",FEASIBLE,FEASIBLE,null,0.003825000,0.015887000,3,3,6,7,False
300032,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.020617000,0.027938000,3,4,7,9,False
300033,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.005556000,0.013384000,2,2,5,5,False
300034,2,2,"[1,1]","[1,3]","[[0,1],[1]]",FEASIBLE,FEASIBLE,null,0.007474000,0.014553000,2,2,6,7,False
