seed,boxes,resources,demands,capacities,reachable,exhaustive_result,python_flow_result,native_flow_result,exhaustive_subset,exhaustive_ms,python_flow_ms,native_flow_ms,mismatch
700000,3,5,"[1,2,1]","[3,2,3,2,2]","[[3,4],[3,4],[1,2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.050042,0.065317,0.006778,False
700001,4,4,"[3,2,2,1]","[1,3,2,2]","[[0,1,2],[0,2],[0,2,3],[3]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.021462,0.068411,0.005777,False
700002,3,7,"[2,2,1]","[2,2,3,1,2,3,2]","[[5,6],[0,1,2,4,5,6],[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.046799,0.048435,0.003441,False
700003,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.01354,0.022143,0.00116,False
700004,2,2,"[1,1]","[3,3]","[[0,1],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.009068,0.019317,0.001131,False
700005,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.034313,0.047975,0.003142,False
700006,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.019603,0.0379,0.00195,False
700007,3,5,"[1,1,1]","[3,1,1,1,2]","[[0,1,2,3,4],[2,4],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.034717,0.029932,0.001804,False
700008,7,3,"[1,2,1,1,2,2,1]","[1,2,2]","[[2],[0,1,2],[1],[2],[1,2],[0,1,2],[1]]",UNSAT,UNSAT,UNSAT,"[0, 3, 4]",0.117454,0.159614,0.004263,False
700009,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.026172,0.039589,0.002115,False
700010,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.043818,0.046865,0.00233,False
700011,2,2,"[1,2]","[2,2]","[[0,1],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.009265,0.021871,0.001137,False
700012,1,2,[1],"[3,1]","[[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.005321,0.015217,0.000798,False
700013,6,2,"[1,1,1,2,1,2]","[2,3]","[[0],[0],[0],[0,1],[1],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.049366,0.051534,0.002703,False
700014,2,5,"[1,1]","[2,3,3,1,2]","[[2],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.015533,0.020818,0.001168,False
700015,3,7,"[1,1,3]","[2,3,1,2,2,3,2]","[[1],[4,5,6],[1,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.044021,0.033754,0.001958,False
700016,6,4,"[1,2,2,1,1,2]","[2,1,1,1]","[[1],[1,2,3],[0,1,2,3],[0,1],[1,2,3],[0,1,2,3]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.081824,0.07669,0.005832,False
700017,2,6,"[1,1]","[3,2,1,3,3,1]","[[0],[1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.017546,0.023809,0.001733,False
700018,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.009649,0.034519,0.002157,False
700019,2,2,"[1,1]","[3,2]","[[0],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.009838,0.019206,0.000922,False
