seed,boxes,resources,demands,capacities,reachable,exhaustive_result,python_flow_result,native_flow_result,exhaustive_subset,exhaustive_ms,python_flow_ms,native_flow_ms,mismatch
700000,3,5,"[1,2,1]","[3,2,3,2,2]","[[3,4],[3,4],[1,2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.059909,0.063072,0.007783,False
700001,4,4,"[3,2,2,1]","[1,3,2,2]","[[0,1,2],[0,2],[0,2,3],[3]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.020504,0.064383,0.017808,False
700002,3,7,"[2,2,1]","[2,2,3,1,2,3,2]","[[5,6],[0,1,2,4,5,6],[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.044336,0.044752,0.004486,False
700003,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.012797,0.020814,0.001291,False
700004,2,2,"[1,1]","[3,3]","[[0,1],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.008921,0.018247,0.001186,False
700005,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.033356,0.044566,0.003363,False
700006,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.018254,0.035674,0.002201,False
700007,3,5,"[1,1,1]","[3,1,1,1,2]","[[0,1,2,3,4],[2,4],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.03305,0.028295,0.002011,False
700008,7,3,"[1,2,1,1,2,2,1]","[1,2,2]","[[2],[0,1,2],[1],[2],[1,2],[0,1,2],[1]]",UNSAT,UNSAT,UNSAT,"[0, 3, 4]",0.112423,0.159186,0.004768,False
700009,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.025269,0.038032,0.002314,False
700010,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.04365,0.04561,0.002514,False
