instance,family,scale,variant,expected_result,cadical_status,cadical_ms,cadical_timed_out,cadical_log,kissat_status,kissat_ms,kissat_timed_out,kissat_log,lkk_hybrid_status,lkk_hybrid_ms,passed
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,UNSATISFIABLE,UNSATISFIABLE,119.219689,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/001_pigeonhole_exact1_boundary_low_scale8_noise0__cadical.log,UNSATISFIABLE,34.718012,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/001_pigeonhole_exact1_boundary_low_scale8_noise0__kissat.log,UNSATISFIABLE,166.896628,True
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,UNSATISFIABLE,UNSATISFIABLE,4081.863180,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical.log,UNSATISFIABLE,418.939014,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat.log,UNSATISFIABLE,318.466930,True
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,UNSATISFIABLE,UNSATISFIABLE,167.350794,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/003_exact_r_allocation_boundary_low_scale9_noise0__cadical.log,UNSATISFIABLE,116.688002,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/003_exact_r_allocation_boundary_low_scale9_noise0__kissat.log,UNSATISFIABLE,468.940794,True
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,UNSATISFIABLE,UNSATISFIABLE,18339.356422,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/004_exact_r_allocation_boundary_high_scale11_noise0__cadical.log,UNSATISFIABLE,22207.439730,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/004_exact_r_allocation_boundary_high_scale11_noise0__kissat.log,UNSATISFIABLE,18994.419731,True
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,UNSATISFIABLE,UNSATISFIABLE,519.726966,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/005_overlapping_hall_violation_boundary_low_scale8_noise0__cadical.log,UNSATISFIABLE,118.233224,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/005_overlapping_hall_violation_boundary_low_scale8_noise0__kissat.log,UNSATISFIABLE,1073.612504,True
006_overlapping_hall_violation_boundary_high_scale10_noise0.cnf,overlapping_hall_violation,10,boundary_high,UNSATISFIABLE,TIMEOUT,30043.652316,True,results/phase3/20260816Tphase3candidate01Z/logs/validation/006_overlapping_hall_violation_boundary_high_scale10_noise0__cadical.log,UNSATISFIABLE,1975.445505,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/006_overlapping_hall_violation_boundary_high_scale10_noise0__kissat.log,TIMEOUT,30040.805127,False
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,UNSATISFIABLE,UNSATISFIABLE,769.419966,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/007_capacity2_violation_boundary_low_scale5_noise0__cadical.log,UNSATISFIABLE,317.702700,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/007_capacity2_violation_boundary_low_scale5_noise0__kissat.log,UNSATISFIABLE,669.023915,True
008_capacity2_violation_boundary_high_scale6_noise0.cnf,capacity2_violation,6,boundary_high,UNSATISFIABLE,TIMEOUT,30041.418886,True,results/phase3/20260816Tphase3candidate01Z/logs/validation/008_capacity2_violation_boundary_high_scale6_noise0__cadical.log,UNSATISFIABLE,2175.990222,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/008_capacity2_violation_boundary_high_scale6_noise0__kissat.log,UNSATISFIABLE,1574.359789,False
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,UNSATISFIABLE,UNSATISFIABLE,369.053349,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/009_hidden_pigeonhole_visible_noise0_scale9_noise0__cadical.log,UNSATISFIABLE,168.100198,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/009_hidden_pigeonhole_visible_noise0_scale9_noise0__kissat.log,UNSATISFIABLE,418.514346,True
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,UNSATISFIABLE,UNSATISFIABLE,568.508305,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__cadical.log,UNSATISFIABLE,168.219171,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__kissat.log,UNSATISFIABLE,921.310469,True
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,SATISFIABLE,SATISFIABLE,118.885796,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/011_satisfiable_capacity_control_sat_fallback_scale24_noise0__cadical.log,SATISFIABLE,35.493799,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/011_satisfiable_capacity_control_sat_fallback_scale24_noise0__kissat.log,SATISFIABLE,871.104437,True
012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,uniform,SATISFIABLE,SATISFIABLE,118.205974,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/012_random_3sat_uniform_scale150_noise0__cadical.log,SATISFIABLE,117.857109,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/012_random_3sat_uniform_scale150_noise0__kissat.log,SATISFIABLE,320.047888,True
013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,planted_sat,SATISFIABLE,SATISFIABLE,972.668907,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/013_random_3sat_planted_sat_scale400_noise0__cadical.log,SATISFIABLE,118.540951,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/013_random_3sat_planted_sat_scale400_noise0__kissat.log,SATISFIABLE,1122.122839,True
014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,planted_sat,SATISFIABLE,SATISFIABLE,921.250930,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/014_random_3sat_planted_sat_scale800_noise0__cadical.log,SATISFIABLE,168.405340,False,results/phase3/20260816Tphase3candidate01Z/logs/validation/014_random_3sat_planted_sat_scale800_noise0__kissat.log,SATISFIABLE,1225.051374,True
