seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,mismatch
500000,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.013827000,0.027693000,False
500001,5,2,"[1,1,1,1,1]","[1,2]","[[0,1],[1],[1],[1],[1]]",UNSAT,UNSAT,"[1,2,3]",0.058234000,0.058126000,False
500002,6,4,"[1,1,3,1,1,1]","[2,2,3,3]","[[0,1,3],[0,2,3],[0,2,3],[0,1,2],[2,3],[2,3]]",FEASIBLE,FEASIBLE,null,0.278089000,0.069884000,False
500003,6,4,"[1,1,1,1,3,1]","[2,1,1,2]","[[0,2,3],[2],[3],[2,3],[0,1,2,3],[2,3]]",UNSAT,UNSAT,"[1,2,3,4]",0.202149000,0.069432000,False
500004,1,4,[1],"[3,3,2,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.005710000,0.020702000,False
500005,5,4,"[3,1,1,1,1]","[1,1,2,2]","[[0,2,3],[0,1,2,3],[2],[0,1,2,3],[0,1,2,3]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.120279000,0.074113000,False
500006,3,3,"[2,2,1]","[1,3,2]","[[0,1,2],[0,1],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.023384000,0.041929000,False
500007,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.018236000,0.054822000,False
500008,1,3,[1],"[2,3,2]",[[1]],FEASIBLE,FEASIBLE,null,0.005197000,0.014681000,False
500009,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.003255000,0.012085000,False
500010,3,6,"[1,1,1]","[2,2,3,3,1,2]","[[0,1,4,5],[1,3],[1,5]]",FEASIBLE,FEASIBLE,null,0.037823000,0.029694000,False
500011,3,6,"[3,2,1]","[1,1,2,1,2,2]","[[0,2,3,5],[2,3],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.037921000,0.052234000,False
