experiment,run_order,instance,cnf_sha256,variables,clauses,solver,solver_version,binary_sha256,seed,repetition,timeout_seconds,runtime_seconds,status,timed_out,exit_code,peak_rss_kb,conflicts,decisions,propagations,raw_log
phase1-smoke-baseline,1,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,1,10.0,0.018587496,SATISFIABLE,False,10,1176,0,0,3,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00001__sat__kissat__seed1__rep1.log
phase1-smoke-baseline,2,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,1,10.0,0.049486868,SATISFIABLE,False,10,1768,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00002__sat__cadical__seed1__rep1.log
phase1-smoke-baseline,3,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,2,1,10.0,0.044385602,SATISFIABLE,False,10,1768,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00003__sat__cadical__seed2__rep1.log
phase1-smoke-baseline,4,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,2,1,10.0,0.017892136,SATISFIABLE,False,10,1164,0,0,3,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00004__sat__kissat__seed2__rep1.log
phase1-smoke-baseline,5,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,3,1,10.0,0.019290899,SATISFIABLE,False,10,1168,0,0,3,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00005__sat__kissat__seed3__rep1.log
phase1-smoke-baseline,6,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,3,1,10.0,0.060330034,SATISFIABLE,False,10,1768,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00006__sat__cadical__seed3__rep1.log
phase1-smoke-baseline,7,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,2,10.0,0.049341853,SATISFIABLE,False,10,1768,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00007__sat__cadical__seed1__rep2.log
phase1-smoke-baseline,8,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,2,10.0,0.012678859,SATISFIABLE,False,10,1164,0,0,3,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00008__sat__kissat__seed1__rep2.log
phase1-smoke-baseline,9,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,2,2,10.0,0.013212287,SATISFIABLE,False,10,1164,0,0,3,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00009__sat__kissat__seed2__rep2.log
phase1-smoke-baseline,10,benchmark/cnfs/smoke/sat.cnf,3ac33c120f6a13a8d3b4cba665e1adc13ebbea9e3ee4061e5dc9989d74a1e232,3,3,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,2,2,10.0,0.038125368,SATISFIABLE,False,10,1772,0,0,0,results/phase1/20260816Tphase1baseline04Z/logs/measurements/00010__sat__cadical__seed2__rep2.log
